title,publishedAt,duration,topic_categories,view_count,like_count,comment_count,tags,channel_title,playlist_name,channel_ID,playlist_ID,url
Dole & Kom - Phara Oh (Original Mix),2014-03-19,518,"['Electronic_music', 'Pop_music']",22491145,152155.0,1616.0,"['Dole & Kom - Phara Oh (Original Mix)', 'dole & kom pharaoh', 'dole & kom', 'away', 'phara oh', 'original mix', '(original mix)', 'pharaon', 'pharaoh', 'the glitz remix', 'remix', 'the glitz', 'Techno', '3000 grad', 'records', '2014', 'tech house', 'house', 'egypt', 'cairo', 'le caire', 'd1gitalsound', 'd1gital', 'digitalsound', 'House Music (Musical Genre)', 'kom', 'berlin', 'music', 'deep house']",D1gitalSound,🔥 TWITCH - ROSHTEIN,UC8-cVUxklYOKH7gGBsfW48Q,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,XrVWzm51o7E
Aragatz,2017-11-23,428,['NaN'],39193,731.0,1.0,"['Viken Arman', 'Aragatz']",Viken Arman - Topic,🔥 TWITCH - ROSHTEIN,UCTEJX84ug6IYlppcEvPN67Q,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,k0AEf9_LYi0
Vestido De Lunares (Original),2017-06-20,472,['Electronic_music'],14013,214.0,0.0,"['Zakir', 'Summer Sol II', 'Vestido De Lunares']",Zakir Alisultanov - Topic,🔥 TWITCH - ROSHTEIN,UCoqTtN3boEg26AQ9T7CO6tg,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,axR8UjV-_ZU
Avicii - Gonna Love Ya,2015-10-01,217,"['Electronic_music', 'Pop_music']",11755594,92002.0,2700.0,"['Avicii', 'Gonna', 'Love', 'Ya', 'Universal', 'Music', 'Dance', 'avicii without you remix', 'avicii live', 'avicii songs', 'avicii lonely', 'avicii the days', 'avicii 2017', 'avicii nights', 'avicii mix', 'avicii - lonely together ft. rita ora', 'avicii new song', 'avicii', 'avicii remix', 'avicii album', 'avicii alive', 'avicii acoustic', 'avicii audio', 'avicii alone', 'avicii addicted', 'avicii always on the run', 'avicii avicii', 'avicii and kygo', 'avicii addicted to you live', 'a night avicii']",AviciiOfficialVEVO,🔥 TWITCH - ROSHTEIN,UC1SqP7_RfOC9Jf9L_GRHANg,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,UuxTn5vC8VM
The Nights,2018-07-24,177,"['Electronic_music', 'Pop_music']",110638416,1023059.0,445.0,"['Avicii', 'アビーチー', 'アヴィーチー', 'The Days / Nights', 'ザ・デイズ', '（ヘンリック・ビー', 'リミックス）', 'ザ・デイズ (ヘンリック・ビー リミックス)', 'The Nights', 'ザナイツ', 'ザ・ナイツ']",Avicii - Topic,🔥 TWITCH - ROSHTEIN,UCuACQmW04T3v9Mz_1_suFYw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,W4C-NEWrnSQ
Avicii - You Make Me (Official),2013-09-16,231,"['Electronic_music', 'Pop_music']",163712388,912723.0,26655.0,"['avicii without you remix', 'avicii live', 'avicii songs', 'avicii lonely', 'avicii the days', 'avicii 2017', 'avicii nights', 'avicii mix', 'avicii - lonely together ft. rita ora', 'avicii new song', 'avicii', 'avicii remix', 'avicii album', 'avicii alive', 'avicii acoustic', 'avicii audio', 'avicii alone', 'avicii addicted', 'avicii always on the run', 'avicii avicii', 'avicii and kygo', 'avicii addicted to you live', 'a night avicii', 'a day avicii', 'a levels avicii', 'avicii bromance', 'hey']",AviciiOfficialVEVO,🔥 TWITCH - ROSHTEIN,UC1SqP7_RfOC9Jf9L_GRHANg,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,2GADx4Hy-Gg
Liar Liar (Avicii By Avicii),2018-07-26,306,"['Electronic_music', 'Pop_music']",518732,7572.0,123.0,"['Avicii', 'アビーチー', 'アヴィーチー', 'True: Avicii By Avicii', 'トゥルー：アヴィーチー・バイ・アヴィーチー', 'Liar Liar']",Avicii - Topic,🔥 TWITCH - ROSHTEIN,UCuACQmW04T3v9Mz_1_suFYw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,otnvw7VKGo4
Broken Arrows,2018-10-30,233,"['Electronic_music', 'Pop_music']",7952083,62189.0,25.0,"['Avicii', 'アビーチー', 'アヴィーチー', 'Stories', 'Broken Arrows', 'ブロークンアローズ', 'ブロークン・アローズ']",Avicii - Topic,🔥 TWITCH - ROSHTEIN,UCuACQmW04T3v9Mz_1_suFYw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,V5ClukKTIZY
H.O.S.H  - Woohoo (feat. Ost & Kjex) (Orignial Mix),2012-10-05,457,"['Electronic_music', 'Pop_music']",316238,2382.0,41.0,"['Amsterdam', 'DeepHouse', 'Techno', 'H.O.S.H', 'Woohoo', '(feat.', 'Ost', 'Kjex)', '(Orignial', 'Mix)']",BestHouseMusic,🔥 TWITCH - ROSHTEIN,UCQFI6Jm7xL9o5y-f04AYh9A,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,3OnxAjzZbQ8
Feebleminded,2020-04-09,474,['NaN'],4748,71.0,2.0,"['Anton Ishutin', 'Irina Makosh', 'Feebleminded - Single', 'Feebleminded']",Anton Ishutin - Topic,🔥 TWITCH - ROSHTEIN,UCVGa5VfvNR7fPxRv1rRZP2A,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,7RsqkwJbc-s
Shake Your Head,2014-05-17,402,['Electronic_music'],1232,30.0,0.0,"['Maxxi Soundsystem', 'Thomas Gandey Shake Your Head Shake Your Head']",Maxxi Soundsystem - Topic,🔥 TWITCH - ROSHTEIN,UCe921jiMqvJMEiMIHvEmPyw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,7M1Dkrui_8s
Do You Believe,2020-04-03,255,['Electronic_music'],78429,1709.0,5.0,"['Poolside', 'Pacific Standard Time', 'Do You Believe']",Poolside - Topic,🔥 TWITCH - ROSHTEIN,UC31l8BCauKMT4TMLPeIUOhA,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,ItSZEmCXO2Q
Syria (Original),2016-03-14,483,['Electronic_music'],8756254,101159.0,189.0,"['Unders', 'Syria', 'Syria (Original)']",Unders - Topic,🔥 TWITCH - ROSHTEIN,UCMoPHMoBKlndVsfFOUlDpwg,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,lmbY--Br7B4
Moonlight Shadow (Original Mix),2015-01-02,175,"['Electronic_music', 'Pop_music']",378940,3656.0,7.0,"['Groove Coverage', 'Moonlight Shadow']",Groove Coverage - Topic,🔥 TWITCH - ROSHTEIN,UCBTThbxMtmvt4lmnLFPKzAg,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,_-fr5i2dtME
"Tom Jones, The Cardigans - Burning Down The House",2017-01-09,226,"['Pop_music', 'Rock_music']",6963105,64791.0,2543.0,"['Tom', 'Jones', 'The', 'Cardigans', 'Burning', 'Down', 'House', 'UMC', 'Pop', 'tom jones burning down the house']",TomJonesVEVO,🔥 TWITCH - ROSHTEIN,UCRgc0n4bPiqOgIkzQX172VA,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,iYuldgIOelY
Paper Planes,2021-08-12,227,['Independent_music'],541,4.0,0.0,"['TT', 'Glass', 'Paper Planes']",TT - Topic,🔥 TWITCH - ROSHTEIN,UCyKnnZtmA3x4wXEwGwdaTAA,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,HzFDQ3LMWWw
Mattafix - Big City Life,2005-11-07,243,"['Hip_hop_music', 'Pop_music', 'Rock_music']",74183123,553723.0,23407.0,"['mattafix', 'big', 'city', 'life']",Bettina Bier,🔥 TWITCH - ROSHTEIN,UCh6hQvsFLEf3JboY8loS7kA,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,4mtfnfQoAco
Feeling Good,2018-07-26,231,"['Electronic_music', 'Independent_music', 'Pop_music']",2567805,40795.0,91.0,"['Avicii', 'アビーチー', 'アヴィーチー', 'Feeling Good', 'フィーリング・グッド']",Avicii - Topic,🔥 TWITCH - ROSHTEIN,UCuACQmW04T3v9Mz_1_suFYw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,cyBnI9lP45I
Dj Sammy - Heaven (With Lyrics),2010-05-22,234,"['Electronic_music', 'Pop_music']",1784706,13367.0,510.0,"['Dj', 'Sammy', 'Heaven', 'With', 'Lyrics']",Ella921,🔥 TWITCH - ROSHTEIN,UCtVwyWxSDqrwxO2itv-AWfw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,mmI3upHbiqU
Take Me To Church,2018-07-26,242,['Independent_music'],92862473,892368.0,226.0,"['Hozier', 'ホージア', 'Take Me To Church', 'Ｔａｋｅ', 'Ｍｅ', 'Ｔｏ', 'Ｃｈｕｒｃｈ']",Hozier - Topic,🔥 TWITCH - ROSHTEIN,UCA3Zs9A2IeetfGT3Omi9ivw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,JKlYOUfviXM
Higher Higher,2018-02-01,259,"['Christian_music', 'Pop_music']",1546722,13333.0,257.0,"['Justin Timberlake', 'ジャスティンティンバーレイク', '賈斯汀', 'Man of the Woods', 'Higher Higher']",Justin Timberlake - Topic,🔥 TWITCH - ROSHTEIN,UC6VwktUsQQDCkHG1h6YftAQ,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,0cA_0MOcYGg
Wonderchild,2015-08-12,210,['Pop_music'],60645,544.0,0.0,"['Christian Walz', '克利斯坦華茲', 'Paint By Numbers', 'Wonderchild']",Christian Walz - Topic,🔥 TWITCH - ROSHTEIN,UCcxj-DTz9Dw-mgEAQ_Nb8qA,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,Tl_YSRB6vcI
Heroes (2017 Remaster),2018-02-22,372,"['Pop_music', 'Rock_music']",28711504,294956.0,1697.0,"['David Bowie', 'Heroes', 'Heroes (2017 Remaster)']",David Bowie - Topic,🔥 TWITCH - ROSHTEIN,UCvY1eVE6lTebXsdFbbXUtkQ,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,YLp2cW7ICCU
I'm Shipping Up To Boston,2020-10-27,154,['Rock_music'],7636009,109303.0,18.0,"['Dropkick Murphys', ""The Warrior's Code"", ""I'm Shipping Up To Boston""]",Dropkick Murphys - Topic,🔥 TWITCH - ROSHTEIN,UCcqMWHRrsVuUZ30mqaVv-fA,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,pMgHX2dhVlE
Sunshine Hotel,2018-08-17,297,['NaN'],796,12.0,0.0,"['Marcapasos', 'Ready For Summer 2017', 'Sunshine Hotel']",Marcapasos - Topic,🔥 TWITCH - ROSHTEIN,UCbObG7gSRiZM7EuqDUc1NXw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,YHmhlyLTVXk
Moby - Natural Blues,2009-03-05,263,"['Electronic_music', 'Pop_music']",44771027,252673.0,6506.0,"['Moby', 'Natural', 'Blues']",emimusic,🔥 TWITCH - ROSHTEIN,UC2kTZB_yeYgdAg4wP2tEryA,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,z3YMxM1_S48
Don’t Matter To Me,2018-07-27,246,"['Hip_hop_music', 'Pop_music']",14186438,155569.0,778.0,"['Drake', 'ドレイク', 'Michael Jackson', 'マイケルジャクソン', 'マイケル・ジャクソン', 'Scorpion', 'Don’t Matter To Me', 'ドントマタートゥミー', 'ドント・マター・トゥ・ミー']",Drake - Topic,🔥 TWITCH - ROSHTEIN,UCU6cE7pdJPc6DU2jSrKEsdQ,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,bMal5T6027k
Anton Ishutin feat. Note U - Be My Lover (Original Mix) Music video,2017-07-26,327,"['Electronic_music', 'Pop_music']",7765773,50687.0,529.0,"['music', 'music video', 'deep', 'house music', 'deep house', 'deep house 2017', 'best deep house', 'new music', 'nu-disco', 'girl', 'model', 'sexy', 'dance', 'trip', 'hot', 'photoshoot', 'fashion', 'anton ishutin', 'Note U', 'swimwear', 'travel', 'Australia', 'Cayman Islands', 'Hawaii', 'Maldives', 'video edit', 'remix', 'indie dance', 'summer music', 'vocal deep house', 'vocal house']",120bpm,🔥 TWITCH - ROSHTEIN,UCO0RBMR9ILNLhy_mbWbF4dg,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,sCWiQ0wCs8Y
Main Piano (Original Mix),2018-08-16,300,['Electronic_music'],9611,173.0,0.0,"['Angelo', 'Ferreri', 'Moon', 'Rocket', 'Main', 'Piano']",Angelo Ferreri - Topic,🔥 TWITCH - ROSHTEIN,UCaD5tmm8BKpB3vOuNzSHanQ,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,KATVufPoDW0
Armen Miran & Hraach - Aldebaran,2016-09-14,417,['Electronic_music'],2152683,22228.0,236.0,"['slav', 'slav records', 'Armen Miran & Hraach - Aldebaran', 'Armen Miran', 'Hraach', 'mystic', 'tribal', 'deep', 'solselectas', 'dance music', 'ancient', 'deep house', 'tribal house', 'spiritual house']",Slav,🔥 TWITCH - ROSHTEIN,UC8MLS5X0vWxxa5nyJxfSA1A,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,WU_ws0Di6wI
Tarlabasi (Be Svendsen Remix),2017-11-23,545,['Electronic_music'],24044,288.0,0.0,"['Oceanvs Orientalis', 'Beach Rouge Vol 4 (The Bodrum Edition – Beach House & Deep Disco)', 'Tarlabasi (Be Svendsen Remix)']",Oceanvs Orientalis - Topic,🔥 TWITCH - ROSHTEIN,UC6gKiM8AUPX1Ha86M4Y23Xw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,pCfB9R89S_8
Ay Que Sera Del Sol (Original),2016-06-20,391,['Electronic_music'],947385,17577.0,10.0,"['Rodrigo Gallardo', 'Summer Sol', 'Ay Que Sera Del Sol (Original)']",Rodrigo Gallardo - Topic,🔥 TWITCH - ROSHTEIN,UCLA5X3h3AJxU4GIS1xt58xw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,n_Whsw6s6Rc
Make It Right (Wankelmut Remix),2018-09-27,187,['Electronic_music'],46254,402.0,2.0,"['FDVM', 'Tyler Sjöström', 'Wankelmut', 'Victorien Mulliez', 'Florent Denecker', 'Make It Right']",FDVM - Topic,🔥 TWITCH - ROSHTEIN,UCC4Suq5_q5q97UvnxYlMZWQ,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,5vgAPlIsqBw
Enjoy the Silence,2014-03-24,301,"['Electronic_music', 'Pop_music']",13430,139.0,0.0,"['Erdinc', 'Erdogdu', 'Featuring', 'Kivanch', 'Enjoy', 'the', 'Silence']",Erdinc Erdogdu - Topic,🔥 TWITCH - ROSHTEIN,UC3tiIBOfldtLvvE2BXa58ww,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,V627XZRHwPU
Netzwerk (Super Flu ReDings),2018-09-15,595,['Electronic_music'],12339,224.0,1.0,"['Klangkarussell', 'クランカルーセル', 'Netzwerk']",Klangkarussell - Topic,🔥 TWITCH - ROSHTEIN,UCttJhgDSWb98oCQXUzRUnZA,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,Y4uoK-AzGxM
